title,address,price,link
Allendale Wine Shoppe,USA: (NJ) Allendale,74.84₽,https://www.allendalewine.com/products/10588560/smirnoff-classic-no-21-vodka
Allendale Wine Shoppe,USA: (NJ) Allendale,74.84₽,https://www.allendalewine.com/products/11289482/smirnoff-vodka-100-proof
Allendale Wine Shoppe,USA: (NJ) Allendale,74.84₽,https://www.allendalewine.com/products/11349007/stolichnaya-crushed-ruby-red-grapefruit-vodka
Allendale Wine Shoppe,USA: (NJ) Allendale,74.84₽,https://www.allendalewine.com/products/10588160/new-amsterdam-red-berry-vodka
Kahn's Fine Wines & Spirits,USA: (IN) Indianapolis,88.18₽,http://www.kahnsfinewines.com/sku41662.html
B-21,USA: (FL) Tarpon Springs,88.18₽,https://www.b-21.com/Deep-Eddy-Ruby-Red-Vodka/productinfo/LVODDEEPDA/
Uptown Spirits,USA: (CA) San Diego,92.63₽,https://uptownspirits.com/product/liquor/pre-mixed-cocktails/chi-chis-ruby-red-margarita-cocktail-187ml/
Allendale Wine Shoppe,USA: (NJ) Allendale,92.63₽,https://www.allendalewine.com/products/10587778/johnnie-walker-red-label-blended-scotch-whisky
Continental Wine & Spirits Online,USA: (NY) Fresh Meadows,92.63₽,https://www.continentalws.com/spirits/New-Amsterdam-Red-Berry-Vodka-w1743311s6
Passion Vines,USA: (NJ) Somers Point,95.59₽,https://www.passionvines.com/spirits/Smirnoff-Vodka-w5618105y2
Best Wine & Spirit 21,USA: (NY) Manhasset,95.59₽,https://www.bestwine21.com/spirits/Smirnoff-No.-21-Vodka-w5380966j1
"Total Wine & More, Millenia",USA: (FL) Orlando,95.59₽,https://www.totalwine.com/spirits/vodka/vodka/kinky-red/p/171676050?s=920&igrules=true
Raeders Wines & Liquors,USA: (NY) Albertson,95.59₽,http://www.raederswine.com/sku2485.html
Raeders Wines & Liquors,USA: (NY) Albertson,95.59₽,http://www.raederswine.com/sku1904.html
Big K Market,USA: (CA) Lemon Grove,103.00₽,https://bigkmarketliquor.com/product/chi-chis-ruby-red-margarita/
Passion Vines,USA: (NJ) Somers Point,103.00₽,https://www.passionvines.com/spirits/Jim-Beam-Red-Stag-Black-Cherry-Bourbon-w79269587s
